terrain;key;name;description;requires;constraints;type;workAmount;specials
DESERT;OASIS;oasis;OASIS_DESCRIPTION;;;0;;FOOD_YIELD,3
;SHEEPS;sheeps;SHEEPS_DESCRIPTION;;;1;;PRODUCTION_YIELD,1
;WHEAT;wheat;WHEAT_DESCRIPTION;;;1;;FOOD_YIELD,2
;SEALS;seals;SEALS_DESCRIPTION;;;1;;FOOD_YIELD,2
;GAME;game;GAME_DESCRIPTION;;;1;;FOOD_YIELD,2
;COAL;coal;COAL_DESCRIPTION;;;1;;PRODUCTION_YIELD,2
;GEMS;gems;GEMS_DESCRIPTION;;;1;;COMMERCE_YIELD,4
;GOLD;gold;GOLD_DESCRIPTION;;;1;;COMMERCE_YIELD,6
;FISH;fish;FISH_DESCRIPTION;;;1;;FOOD_YIELD,2
;HORSES;horses;HORSES_DESCRIPTION;;;1;;PRODUCTION_YIELD,2
;CLAY;clay;CLAY_DESCRIPTION;;;1;;PRODUCTION_YIELD,1
;OIL;oil;OIL_DESCRIPTION;;;1;;PRODUCTION_YIELD,4
ARTIC;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
DESERT;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;50;SET_MOVEMENT_COST,0.5,COMMERCE_YIELD,1
FOREST;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
GRASSLAND;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;50;SET_MOVEMENT_COST,0.5,COMMERCE_YIELD,1
HILLS;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
JUNGLE;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
MOUNTAIN;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;200;SET_MOVEMENT_COST,0.5
PLAINS;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;50;SET_MOVEMENT_COST,0.5,COMMERCE_YIELD,1
RIVER;ROAD;road;ROAD_DESCRIPTION;BRIDGE_BUILDING;;2;100;SET_MOVEMENT_COST,0.5
SWAMP;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
TUNDRA;ROAD;road;ROAD_DESCRIPTION;WHEEL;;2;100;SET_MOVEMENT_COST,0.5
ARTIC;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
DESERT;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;200;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
FOREST;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
GRASSLAND;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;200;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
HILLS;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
JUNGLE;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
MOUNTAIN;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;800;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
PLAINS;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;200;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
RIVER;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
SWAMP;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
TUNDRA;RAILROAD;road;RAILROAD_DESCRIPTION;RAILROAD;;2;400;SET_MOVEMENT_COST,0.25,ALL_MULTIPLIER,1.5
PLAINS;IRRIGATION;irrigation;IRRIGATION_DESCRIPTION;POTTERY;NEED_WATER;3;50;PROPAGATE_WATER,FOOD_YIELD,1
DESERT;IRRIGATION;irrigation;IRRIGATION_DESCRIPTION;POTTERY;NEED_WATER;3;100;PROPAGATE_WATER,FOOD_YIELD,1
GRASSLAND;IRRIGATION;irrigation;IRRIGATION_DESCRIPTION;POTTERY;NEED_WATER;3;50;PROPAGATE_WATER,FOOD_YIELD,1
RIVER;IRRIGATION;irrigation;IRRIGATION_DESCRIPTION;POTTERY;;3;50;PROPAGATE_WATER,FOOD_YIELD,1
DESERT;MINE;mine;MINE_DESCRIPTION;MINING;;3;100;PRODUCTION_YIELD,1
HILLS;MINE;mine;MINE_DESCRIPTION;MINING;;3;100;PRODUCTION_YIELD,3
MOUNTAIN;MINE;mine;MINE_DESCRIPTION;MINING;;3;200;PRODUCTION_YIELD,1
ARTIC;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;400;DEFENSIVE_BONUS,100,FORT
DESERT;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;200;DEFENSIVE_BONUS,100,FORT
FOREST;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;400;DEFENSIVE_BONUS,100,FORT
GRASSLAND;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;200;DEFENSIVE_BONUS,100,FORT
HILLS;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;400;DEFENSIVE_BONUS,100,FORT
JUNGLE;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;400;DEFENSIVE_BONUS,100,FORT
MOUNTAIN;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;800;DEFENSIVE_BONUS,100,FORT
PLAINS;FORTRESS;fortress;FORTRESS_DESCRIPTION;CONSTRUCTION;;3;200;DEFENSIVE_BONUS,100,FORT
